station_id,station_name,total_starts,total_ends,net_imbalance,total_volume
6789.20,31 St & Broadway,2814,2413,401,5227
7281.09,W 76 St & Columbus Ave,7496,7097,399,14593
4912.1,Catalpa Ave & Woodward Ave,403,9,394,412
3722.04,Prospect Park West & 8 St,5158,4768,390,9926
7409.04,W 84 St & Amsterdam Ave,6017,5627,390,11644
7781.1,E 142 St & 3 Ave,386,0,386,386
4821.1,Adams St & Prospect St,1019,636,383,1655
3984.02,Sterling Pl & New York Ave,2259,1881,378,4140
6830.02,E 63 St & 3 Ave,7397,7036,361,14433
4611.03,Willoughby Ave & Hall St,6897,6536,361,13433
7610.13,W 104 St & Amsterdam Ave,4273,3926,347,8199
4543.07,Lewis Ave & Greene Ave,2223,1888,335,4111
7713.11,W 116 St & Broadway,5805,5471,334,11276
5034.03,Menahan St & Onderdonk Ave,1536,1204,332,2740
7023.09,Amsterdam Ave & W 60 St,7427,7098,329,14525
8107.1,Morris Ave & McClellan St,330,7,323,337
3993.03,Sterling Pl & Bedford Ave,3360,3037,323,6397
7484.05,W 87 St & West End Ave,6840,6519,321,13359
3960.01,Lincoln Pl & Classon Ave,3032,2715,317,5747
3547.04,19 St & 8 Ave,772,460,312,1232
4107.05,Franklin Ave & St Marks Ave,4129,3818,311,7947
7669.1,E 138 St & Cypress Ave,306,0,306,306
7910.1,Lenox Ave & W 146 St,306,5,301,311
3952.07,Lincoln Pl & Nostrand Ave,2148,1847,301,3995
4074.14,Classon Ave & St Marks Ave,4880,4584,296,9464
8018.09,W 146 St & Broadway,2110,1816,294,3926
7595.17,Columbus Ave & W 103 St,1923,1629,294,3552
6442.08,81 St & 35 Ave,1650,1357,293,3007
7207.08,W 70 St & Amsterdam Ave,12431,12138,293,24569
6756.01,W 43 St & 10 Ave,16594,16303,291,32897
7538.18,Central Park W & W 97 St,6473,6182,291,12655
3507.04,Prospect Park W & 20 St,1462,1174,288,2636
3611.02,Prospect Park SW & 10 Ave,1970,1685,285,3655
6593.14,W 43 St & 6 Ave,5721,5436,285,11157
7520.07,Columbus Ave & W 95 St,10536,10260,276,20796
5542.04,Driggs Ave & N Henry St,6072,5800,272,11872
6058.08,44 St & 48 Ave,1577,1307,270,2884
3919.07,Eastern Pkwy & Franklin Ave (NE Corner),6068,5799,269,11867
8399.06,Fort Washington Ave & W 183 St,1122,858,264,1980
4098.06,New York Ave & St Marks Ave,2571,2309,262,4880
3865.05,3 St & Prospect Park West,5899,5639,260,11538
3887.03,Carroll St & Washington Ave,1657,1399,258,3056
7713.01,W 113 St & Broadway,4301,4045,256,8346
6209.08,46 St & Queens Blvd,2201,1950,251,4151
4138.04,Thomas S. Boyland St & Fulton St,754,504,250,1258
3911.05,Eastern Pkwy & Nostrand Ave,1994,1747,247,3741
4025.02,Prospect Pl & Nostrand Ave,2833,2586,247,5419
3839.02,President St & Nostrand Ave,1677,1433,244,3110
4689.03,Suydam St & Broadway,2731,2490,241,5221
4089.01,Bergen St & Kingston Ave,1807,1570,237,3377
7835.1,St Ann's Ave & Westchester Ave,232,0,232,232
6134.13,44 St & Greenpoint Ave,1376,1147,229,2523
7942.21,Riverside Dr & W 138 St,1674,1446,228,3120
5659.11,E 11 St & Ave B,10367,10140,227,20507
4455.1,Congress St & Clinton St,1312,1085,227,2397
7386.1,2 Ave & E 99 St,716,489,227,1205
7188.1,E 81 St & Park Ave,1371,1147,224,2518
3975.02,Albany Ave & Park Pl,1259,1035,224,2294
4001.09,St Johns Pl & Washington Ave,4129,3908,221,8037
4392.04,Putnam Ave & Throop Ave,3536,3319,217,6855
4432.1,Central Ave & Decatur St,214,0,214,214
4608.01,Broadway & Kosciuszko St,1749,1535,214,3284
5066.03,Fairview Ave & Linden St,1407,1193,214,2600
6422.08,E 43 St & 2 Ave,6085,5873,212,11958
8138.07,W 160 St & St Nicholas Ave,1105,896,209,2001
