day_name,day_of_week,start_hour,member_type,total_rides,avg_ride_duration_minutes
Wednesday,2,13,casual,5812,19.040102337118604
Wednesday,2,13,member,41963,10.306751886582624
Wednesday,2,14,casual,7014,19.138517923676456
Wednesday,2,14,member,46137,10.58109924464096
Wednesday,2,15,casual,7888,18.19936775904327
Wednesday,2,15,member,53193,10.736367279215935
Wednesday,2,16,casual,7979,17.91813791619668
Wednesday,2,16,member,62983,10.774998014808228
Wednesday,2,17,casual,8339,16.301271879122197
Wednesday,2,17,member,83684,11.111959417969185
Wednesday,2,18,casual,8050,15.599142281573497
Wednesday,2,18,member,76905,10.723381559499815
Wednesday,2,19,casual,5741,14.707604493990592
Wednesday,2,19,member,54431,10.180862638324973
Wednesday,2,20,casual,4238,14.087208545697656
Wednesday,2,20,member,37861,9.890005281160033
Wednesday,2,21,casual,3496,13.49635046720061
Wednesday,2,21,member,28878,10.12115805630584
Wednesday,2,22,casual,3140,13.852420981953292
Wednesday,2,22,member,21277,9.933525929407342
Wednesday,2,23,casual,2391,14.535559333612156
Wednesday,2,23,member,13263,10.083412702003065
Thursday,3,0,casual,1403,13.715164195770967
Thursday,3,0,member,6901,10.0340641308023
Thursday,3,1,casual,807,14.550957414291615
Thursday,3,1,member,3389,9.699531405527686
Thursday,3,2,casual,482,15.615364799446748
Thursday,3,2,member,2010,9.906769668325042
Thursday,3,3,casual,329,13.965842806484297
Thursday,3,3,member,1437,9.848655532359082
Thursday,3,4,casual,414,14.672853180354268
Thursday,3,4,member,2226,9.21716699610662
Thursday,3,5,casual,745,11.78761970917226
Thursday,3,5,member,8290,8.572719644149577
Thursday,3,6,casual,1992,9.484526949464524
Thursday,3,6,member,24048,8.950513732257706
Thursday,3,7,casual,4081,10.82333274524218
Thursday,3,7,member,54496,9.835186360772656
Thursday,3,8,casual,6084,12.103690532544379
Thursday,3,8,member,87217,10.336412923130428
Thursday,3,9,casual,5232,14.17408488149847
Thursday,3,9,member,59478,10.14610231654281
Thursday,3,10,casual,4640,18.045430086206895
Thursday,3,10,member,39142,10.259207144925314
Thursday,3,11,casual,5261,18.890927504276753
Thursday,3,11,member,37385,10.437150644197763
Thursday,3,12,casual,5996,21.108249407938626
Thursday,3,12,member,41768,10.175212387872694
Thursday,3,13,casual,6723,20.446455206009222
Thursday,3,13,member,43297,10.331447835107898
Thursday,3,14,casual,8307,19.72852595000201
Thursday,3,14,member,51456,10.759941891454186
Thursday,3,15,casual,9663,20.316106404153302
Thursday,3,15,member,60269,10.925350753565956
Thursday,3,16,casual,9863,20.066420532968333
Thursday,3,16,member,69670,11.12938502224774
Thursday,3,17,casual,11463,17.43885037802786
Thursday,3,17,member,96992,11.34885229589382
Thursday,3,18,casual,10676,16.42443885974772
Thursday,3,18,member,89184,10.93101201560818
Thursday,3,19,casual,7324,15.828194620425997
Thursday,3,19,member,60798,10.40630443517879
Thursday,3,20,casual,5346,14.407797652450428
Thursday,3,20,member,42262,10.348834016768413
Thursday,3,21,casual,4440,15.388402256006007
Thursday,3,21,member,31683,10.379636858883313
Thursday,3,22,casual,3981,14.645013099723688
Thursday,3,22,member,24803,10.426522575226114
Thursday,3,23,casual,3113,15.245025393511082
Thursday,3,23,member,16135,10.483419450469993
Friday,4,0,casual,2100,14.261570055555554
Friday,4,0,member,8920,10.667087144992525
Friday,4,1,casual,1272,15.148468671383647
Friday,4,1,member,4773,10.180355691738251
Friday,4,2,casual,829,15.957192661841576
Friday,4,2,member,3012,10.229749579459938
Friday,4,3,casual,505,13.897486765676566
Friday,4,3,member,2027,9.273356783423779
Friday,4,4,casual,505,13.292529669966996
Friday,4,4,member,2486,9.461813837489945
Friday,4,5,casual,868,10.39647774577573
Friday,4,5,member,7937,8.516998066019907
Friday,4,6,casual,2060,12.154073559870548
Friday,4,6,member,22163,9.113627533125781
Friday,4,7,casual,3988,11.36399933550652
Friday,4,7,member,46977,9.786535948797638
Friday,4,8,casual,5614,12.685561079444247
Friday,4,8,member,69279,9.94028183360037
Friday,4,9,casual,5410,16.018460890326555
Friday,4,9,member,51999,9.746693494746694
Friday,4,10,casual,5783,19.27883772263531
Friday,4,10,member,39147,10.064016125969637
Friday,4,11,casual,6943,20.15380693744299
Friday,4,11,member,41207,10.291585142491972
Friday,4,12,casual,8347,21.385852386086817
Friday,4,12,member,47356,10.34582503237886
Friday,4,13,casual,9619,21.328803872543922
Friday,4,13,member,51505,10.600651739636929
Friday,4,14,casual,11703,20.34409489589564
Friday,4,14,member,59936,11.097585891339651
Friday,4,15,casual,13309,20.208270519948908
Friday,4,15,member,67404,11.188137097699444
Friday,4,16,casual,13121,19.888015391357367
Friday,4,16,member,75051,11.094557008567508
Friday,4,17,casual,13544,18.18680622784997
Friday,4,17,member,88285,11.16937788072719
Friday,4,18,casual,12124,17.61767258330584
Friday,4,18,member,77471,10.899800970255537
Friday,4,19,casual,9066,16.01825388815354
Friday,4,19,member,56783,10.545162281844918
Friday,4,20,casual,6767,16.004093941185165
Friday,4,20,member,39129,10.330933631918356
Friday,4,21,casual,5590,16.693080262373286
Friday,4,21,member,29513,10.540021890353403
Friday,4,22,casual,4929,15.943254902955298
Friday,4,22,member,24283,10.605370392867437
Friday,4,23,casual,4399,16.618286368113967
Friday,4,23,member,19621,10.808081322732447
Saturday,5,0,casual,3636,16.273576086358634
Saturday,5,0,member,14282,10.695231834943751
Saturday,5,1,casual,2591,16.86823445902483
Saturday,5,1,member,9437,10.441811965313835
Saturday,5,2,casual,1794,17.008279347826086
Saturday,5,2,member,6125,10.68104347482993
Saturday,5,3,casual,1183,17.63731053817977
Saturday,5,3,member,3848,10.592371132189882
Saturday,5,4,casual,889,16.04987566554181
Saturday,5,4,member,2680,10.772592027363183
Saturday,5,5,casual,569,16.205576303456358
Saturday,5,5,member,2787,9.807093290276283
Saturday,5,6,casual,1011,13.416118216287504
Saturday,5,6,member,6375,9.568829647058823
Saturday,5,7,casual,1808,13.463921994837758
Saturday,5,7,member,12342,9.463767705126127
Saturday,5,8,casual,3255,14.960500353302612
Saturday,5,8,member,22303,9.822588449984307
Saturday,5,9,casual,5362,17.20479953064777
Saturday,5,9,member,32774,10.0492003493623
Saturday,5,10,casual,8261,18.612403760642376
Saturday,5,10,member,41432,10.487068339286864
Saturday,5,11,casual,10772,20.14312637857408
Saturday,5,11,member,49384,10.91504703345213
Saturday,5,12,casual,12100,21.52337900550964
Saturday,5,12,member,51030,11.236235705793977
Saturday,5,13,casual,12868,22.730057079577243
Saturday,5,13,member,51916,11.666559384069137
Saturday,5,14,casual,13767,22.863975476380716
Saturday,5,14,member,51303,11.981879736727546
Saturday,5,15,casual,13904,23.81943776970656
Saturday,5,15,member,49594,12.255355225430495
Saturday,5,16,casual,12489,23.306571328102063
Saturday,5,16,member,46866,12.028742399251767
Saturday,5,17,casual,10394,22.24183075812969
Saturday,5,17,member,43667,11.681927215441103
Saturday,5,18,casual,8881,20.101139528206286
Saturday,5,18,member,40168,11.184407744141273
Saturday,5,19,casual,7112,18.26191287495313
Saturday,5,19,member,34108,10.998371837007936
Saturday,5,20,casual,5109,17.902185567951978
Saturday,5,20,member,25075,10.721640428713858
Saturday,5,21,casual,4354,17.153431185882713
Saturday,5,21,member,20035,10.817853285916314
Saturday,5,22,casual,4118,18.73163038287194
Saturday,5,22,member,18167,11.372944742298307
Saturday,5,23,casual,3836,17.393442257559958
Saturday,5,23,member,16751,10.836538989712057
Sunday,6,0,casual,3127,16.825893374906727
Sunday,6,0,member,12510,10.717870418332
Sunday,6,1,casual,2272,17.84273333333333
Sunday,6,1,member,8548,11.368295002729683
Sunday,6,2,casual,1422,15.873535196905767
Sunday,6,2,member,5208,10.298099795186891
Sunday,6,3,casual,1170,18.213973846153845
Sunday,6,3,member,3975,10.253914381551363
Sunday,6,4,casual,817,14.410894022847817
Sunday,6,4,member,2768,10.318321290944123
Sunday,6,5,casual,536,14.449156281094528
Sunday,6,5,member,2415,9.832514616977225
Sunday,6,6,casual,836,14.618554864433811
Sunday,6,6,member,4993,9.776391865278056
Sunday,6,7,casual,1612,14.913852409015716
Sunday,6,7,member,9612,9.582629114648357
Sunday,6,8,casual,2892,17.121150668510833
Sunday,6,8,member,16903,9.572188702202764
Sunday,6,9,casual,5255,18.863291455756425
Sunday,6,9,member,28020,10.142449549131573
Sunday,6,10,casual,8314,20.02081284379761
Sunday,6,10,member,38987,10.408236090235206
Sunday,6,11,casual,11253,21.412778188038747
Sunday,6,11,member,46517,10.903168137813417
Sunday,6,12,casual,13334,21.997541404179792
Sunday,6,12,member,52279,11.659737199130308
Sunday,6,13,casual,15035,23.205005273251302
Sunday,6,13,member,55367,12.173230355024954
Sunday,6,14,casual,16085,24.398484005802505
Sunday,6,14,member,57582,12.394465667222397
Sunday,6,15,casual,16562,25.03427998832669
Sunday,6,15,member,57743,12.353461235705339
Sunday,6,16,casual,15420,23.474847683744056
Sunday,6,16,member,56436,12.071801221442579
Sunday,6,17,casual,13296,22.31409272462896
Sunday,6,17,member,53530,11.752051901114639
Sunday,6,18,casual,10167,20.003216378151535
Sunday,6,18,member,47265,11.081967311259213
Sunday,6,19,casual,6962,18.41467307526573
Sunday,6,19,member,34936,10.338359549843524
Sunday,6,20,casual,4744,17.031502743816752
Sunday,6,20,member,25831,10.246563245712515
Sunday,6,21,casual,3808,16.456186790966388
Sunday,6,21,member,20071,10.124118488532377
Sunday,6,22,casual,3273,16.510817868418375
Sunday,6,22,member,16515,10.036401808456958
Sunday,6,23,casual,3597,18.505348243906962
Sunday,6,23,member,13229,10.630445395217578
